Equity_Ticker,Date,Year,Quarter,Revenue,EBITDA,Total_Liabilities,Cash,Net_Int_Exp
JPM US Equity,2020-09-30,2020,3,30942,,2974963,949812,
JPM US Equity,2020-12-31,2020,4,30627,,3105403,984528,
JPM US Equity,2021-03-31,2021,1,33648,,3408622,1163069,
JPM US Equity,2021-06-30,2021,2,31832,,3397870,1152784,
JPM US Equity,2021-09-30,2021,3,31047,,3467535,1245017,
JPM US Equity,2021-12-31,2021,4,30675,,3449440,1208603,
JPM US Equity,2022-03-31,2022,1,32341,,3668788,1281259,
JPM US Equity,2022-06-30,2022,2,34233,,3555171,1193809,
JPM US Equity,2022-09-30,2022,3,40809,,3485866,1139281,
JPM US Equity,2022-12-31,2022,4,47409,,3373411,1068195,
JPM US Equity,2023-03-31,2023,1,54642,,3441223,1059028,
JPM US Equity,2023-06-30,2023,2,61172,,3555724,984314,
JPM US Equity,2023-09-30,2023,3,61704,,3580962,1049707,
JPM US Equity,2023-12-31,2023,4,61907,,3547515,1100739,
JPM US Equity,2024-03-31,2024,1,66290,,3754090,1091011,
JPM US Equity,2024-06-30,2024,2,75967,,3802451,1122644,
JPM US Equity,2024-09-30,2024,3,69665,,3864212,1077515,
JPM US Equity,2024-12-31,2024,4,66984,,3658056,983864,
JYINVZ CH Equity,2020-12-31,2020,4,17038.3571,7890.3191,90881.202,16494.5341,
JYINVZ CH Equity,2021-12-31,2021,4,19581.5993,9202.4497,88208.5783,12083.9529,
JYINVZ CH Equity,2022-12-31,2022,4,13104.8862,5611.232,80558.2286,12518.4083,
JYINVZ CH Equity,2023-12-31,2023,4,13798.5997,6005.1784,81129.4803,13716.513,
JYINVZ CH Equity,2024-12-31,2024,4,9455.0375,5042.8761,76407.0093,9233.4068,
KDBZ KS Equity,2020-12-31,2020,4,6644568,,264006955,7416472,
KDBZ KS Equity,2021-12-31,2021,4,7899090,,287740059,5400761,
KDBZ KS Equity,2022-12-31,2022,4,8856395,,315779999,7380494,
KDBZ KS Equity,2023-12-31,2023,4,14397120,,308106934,5517681,
KDBZ KS Equity,2024-12-31,2024,4,15624848,,328571409,9722627,
KMCACZ CH Equity,2020-12-31,2020,4,882841.724,102447.895,546410.539,356884.568,690.714
KMCACZ CH Equity,2021-12-31,2021,4,636807,150977,568319,416578,4555
KMCACZ CH Equity,2022-12-31,2022,4,636815.671,71674.768,626728.162,372775.662,5254.871
KMCACZ CH Equity,2023-12-31,2023,4,697547.449,132370.868,756028.803,450995.294,5652.923
KMCACZ CH Equity,2024-12-31,2024,4,849834.796,105119.014,745529.843,367692.834,4986.793
KO US Equity,2020-03-31,2020,1,8601,2747,74179,17666,81
KO US Equity,2020-06-30,2020,2,7150,2362,75500,19816,174
KO US Equity,2020-09-30,2020,3,8652,2656,76868,21128,578
KO US Equity,2020-12-31,2020,4,8611,2768,66012,10914,234
KO US Equity,2021-06-30,2021,2,9020,3088,67661,12589,376
KO US Equity,2021-09-30,2021,3,10129,3399,65939,13042,709
KO US Equity,2021-12-31,2021,4,10042,3260,66473,14869,142
KO US Equity,2021-12-31,2021,4,9464,2013,69494,12625,94
KO US Equity,2022-06-30,2022,2,10491,3729,67223,10356,104
KO US Equity,2022-09-30,2022,3,11325,2663,68366,11619,98
KO US Equity,2022-09-30,2022,3,11063,3395,68035,13220,70
KO US Equity,2022-12-31,2022,4,10125,2382,66937,11631,161
KO US Equity,2023-03-31,2023,1,10980,3653,70536,14295,204
KO US Equity,2023-06-30,2023,2,11972,2682,70904,15694,150
KO US Equity,2023-09-30,2023,3,11953,3560,69745,15435,120
KO US Equity,2023-12-31,2023,4,10849,2544,70223,13663,146
KO US Equity,2024-03-31,2024,1,11300,2403,71446,16919,136
KO US Equity,2024-06-30,2024,2,12363,2901,73791,18993,143
KO US Equity,2024-09-30,2024,3,11854,2778,78112,18164,162
KO US Equity,2024-12-31,2024,4,11544,2985,74177,14571,227
MCD US Equity,2020-03-31,2020,1,4714.4,2114.9,59861.4,5379.8,274.6
MCD US Equity,2020-06-30,2020,2,3761.5,1386.8,59402,3255.7,314.1
MCD US Equity,2020-09-30,2020,3,5418.1,2966.5,59171.4,3683.8,306.7
MCD US Equity,2020-12-31,2020,4,5313.8,2607.2,60451.7,3449.1,305
MCD US Equity,2021-03-31,2021,1,5124.6,2735.2,58338.6,3019.7,298.2
MCD US Equity,2021-06-30,2021,2,5887.9,3154.5,57701.1,3049.4,294.1
MCD US Equity,2021-09-30,2021,3,6201.3,3455.7,58402,4305.8,291.4
MCD US Equity,2021-12-31,2021,4,6009.1,2878.7,58455.3,4709.2,293.9
MCD US Equity,2022-03-31,2022,1,5665.6,2792.3,56868.5,2335.7,284.7
MCD US Equity,2022-06-30,2022,2,5718.4,2174,55617.6,1872.5,286
MCD US Equity,2022-09-30,2022,3,5872.1,3229.5,55067.8,2828.3,295.4
MCD US Equity,2022-12-31,2022,4,5926.5,3045.8,56439,2583.8,296.9
MCD US Equity,2023-03-31,2023,1,5897.8,3022.9,57790.5,3708.1,291.8
MCD US Equity,2023-06-30,2023,2,6497.5,3596.3,55441.1,1625.6,293.3
MCD US Equity,2023-09-30,2023,3,6692.2,3706.3,56944.1,3496.3,293.4
MCD US Equity,2023-12-31,2023,4,6406.2,3299.4,60853.5,4579.3,295.8
MCD US Equity,2024-03-31,2024,1,6169,3246,58346,838,325
MCD US Equity,2024-06-30,2024,2,6490,3422,58625,792,353
MCD US Equity,2024-09-30,2024,3,6873,3720,61349,1221,363
MCD US Equity,2024-12-31,2024,4,6388,3421,58979,1085,362
MET US Equity,2020-03-31,2020,1,18310,,667278,24094,
MET US Equity,2020-06-30,2020,2,14099,,691643,24289,
MET US Equity,2020-09-30,2020,3,16015,,706923,24405,
MET US Equity,2020-12-31,2020,4,19418,,720329,19795,
MET US Equity,2021-03-31,2021,1,15562,,703677,19635,
MET US Equity,2021-06-30,2021,2,18524,,703830,25037,
MET US Equity,2021-09-30,2021,3,16905,,692331,18956,
MET US Equity,2021-12-31,2021,4,20089,,691959,20047,
MET US Equity,2022-03-31,2022,1,15405,,670047,23488,
MET US Equity,2022-06-30,2022,2,15556,,625526,20548,
MET US Equity,2022-09-30,2022,3,22283,,624774,22200,
MET US Equity,2022-12-31,2022,4,15608,,632947,20195,
MET US Equity,2023-03-31,2023,1,15388,,641843,18456,
MET US Equity,2023-06-30,2023,2,16623,,646787,15417,
MET US Equity,2023-09-30,2023,3,15866,,626225,14912,
MET US Equity,2023-12-31,2023,4,19028,,657331,20639,
MET US Equity,2024-03-31,2024,1,16057,,648780,19840,
MET US Equity,2024-06-30,2024,2,17823,,648205,20786,
MET US Equity,2024-09-30,2024,3,18440,,673812,21765,
MET US Equity,2024-12-31,2024,4,18666,,649754,20068,
META US Equity,2020-03-31,2020,1,17737,7830,33067,60289,-228
META US Equity,2020-06-30,2020,2,18687,8011,29244,58240,-162
META US Equity,2020-09-30,2020,3,21470,10090,28706,55620,-146
META US Equity,2020-12-31,2020,4,28072,14993,31026,61954,-136
META US Equity,2021-03-31,2021,1,26171,13712,29866,64219,-118
META US Equity,2021-06-30,2021,2,29077,14723,32382,64080,-121
META US Equity,2021-09-30,2021,3,29010,12804,36225,58075,-120
META US Equity,2021-12-31,2021,4,33671,15020,41108,47998,-102
META US Equity,2022-03-31,2022,1,27908,11091,40990,43890,-76
META US Equity,2022-06-30,2022,2,28822,10772,44012,40489,-91
META US Equity,2022-09-30,2022,3,27714,8319,54800,41776,-77
META US Equity,2022-12-31,2022,4,32165,9306,60014,40738,-32
META US Equity,2023-03-31,2023,1,28645,10308,59696,37439,-138
META US Equity,2023-06-30,2023,2,31999,12531,72655,53446,-207
META US Equity,2023-09-30,2023,3,34146,17093,73401,61123,-395
META US Equity,2023-12-31,2023,4,40111,20087,76455,65403,-452
META US Equity,2024-03-31,2024,1,36455,17726,73315,58120,-458
META US Equity,2024-06-30,2024,2,39071,19073,73475,58080,-412
META US Equity,2024-09-30,2024,3,40589,21986,91879,70900,-453
META US Equity,2024-12-31,2024,4,48385,28451,93417,77815,-480
MS US Equity,2020-03-31,2020,1,11926,5117,860567,308609,
MS US Equity,2020-06-30,2020,2,14418,5799,887354,309722,
MS US Equity,2020-09-30,2020,3,12291,4910,866122,283858,
MS US Equity,2020-12-31,2020,4,13971,6210,1012713,334279,
MS US Equity,2021-03-31,2021,1,16128,6640,1051184,334988,
MS US Equity,2021-06-30,2021,2,15106,5970,1053643,349113,
MS US Equity,2021-09-30,2021,3,15041,6197,1083357,369506,
MS US Equity,2021-12-31,2021,4,14846,6443,1081542,377437,
MS US Equity,2022-03-31,2022,1,15235,5964,1118158,414848,
MS US Equity,2022-06-30,2022,2,14462,5570,1071114,390529,
MS US Equity,2022-09-30,2022,3,16577,7907,1057940,359298,
MS US Equity,2022-12-31,2022,4,19662,10914,1079000,375408,
MS US Equity,2023-03-31,2023,1,23041,13224,1097950,379359,
MS US Equity,2023-06-30,2023,2,23495,13772,1063550,342034,
MS US Equity,2023-09-30,2023,3,24601,15461,1068855,330886,
MS US Equity,2023-12-31,2023,4,25057,15663,1093711,321063,
MS US Equity,2024-03-31,2024,1,26270,16504,1128363,357890,
MS US Equity,2024-06-30,2024,2,26481,16807,1110841,331779,
MS US Equity,2024-09-30,2024,3,27372,17480,1153356,360848,
MS US Equity,2024-12-31,2024,4,27162,17490,1109643,347810,
MSFT US Equity,2020-03-31,2020,1,35021,16615,170948,137626,
MSFT US Equity,2020-06-30,2020,2,38033,17489,183007,136527,686
MSFT US Equity,2020-09-30,2020,3,37154,19019,177609,137977,
MSFT US Equity,2020-12-31,2020,4,43076,21161,173901,131968,
MSFT US Equity,2021-03-31,2021,1,41706,20537,174374,125407,
MSFT US Equity,2021-06-30,2021,2,46152,23012,191791,130334,553
MSFT US Equity,2021-09-30,2021,3,45317,24038,183440,130615,
MSFT US Equity,2021-12-31,2021,4,51728,26212,180379,125369,
MSFT US Equity,2022-03-31,2022,1,49360,24881,181683,104693,
MSFT US Equity,2022-06-30,2022,2,51865,25173,198298,104757,496
MSFT US Equity,2022-09-30,2022,3,50122,24970,186218,107262,
MSFT US Equity,2022-12-31,2022,4,52747,24731,181416,99508,
MSFT US Equity,2023-03-31,2023,1,52857,26667,185405,104427,
MSFT US Equity,2023-06-30,2023,2,56189,28891,205753,111262,
MSFT US Equity,2023-09-30,2023,3,56517,31591,225071,143951,
MSFT US Equity,2023-12-31,2023,4,62020,33808,232290,81017,
MSFT US Equity,2024-03-31,2024,1,61858,34490,231123,80021,
MSFT US Equity,2024-06-30,2024,2,64727,35387,243686,75543,
MSFT US Equity,2024-09-30,2024,3,65585,39096,235290,78428,
MSFT US Equity,2024-12-31,2024,4,69632,39773,231203,71555,
NAB AU Equity,2020-03-31,2020,1,14221,,869250,119222,
NAB AU Equity,2020-09-30,2020,3,12284,,805272,116739,
NAB AU Equity,2021-03-31,2021,1,10609,,809996,133720,
NAB AU Equity,2021-09-30,2021,3,10346,,863189,158378,
NAB AU Equity,2022-03-31,2022,1,10989,,914847,177951,
NAB AU Equity,2022-09-30,2022,3,15119,,996094,198312,
NAB AU Equity,2023-03-31,2023,1,23605,,986873,195958,
NAB AU Equity,2023-09-30,2023,3,28308,,997580,142005,
NAB AU Equity,2024-03-31,2024,1,30460,,1009295,130461,
NAB AU Equity,2024-09-30,2024,3,31726,,1018035,112937,
NVDA US Equity,2020-03-31,2020,1,3105,1127,5111,10897,-29
NVDA US Equity,2020-06-30,2020,2,3080,1114,10155,16354,-6
NVDA US Equity,2020-09-30,2020,3,3866,1090,11266,10981,41
NVDA US Equity,2020-12-31,2020,4,4726,1734,11547,10139,46
NVDA US Equity,2021-03-31,2021,1,5003,1835,11898,11561,47
NVDA US Equity,2021-06-30,2021,2,5661,2276,12022,12667,47
NVDA US Equity,2021-09-30,2021,3,6507,2772,17503,19654,54
NVDA US Equity,2021-12-31,2021,4,7103,3013,16834,19298,55
NVDA US Equity,2022-03-31,2022,1,7643,3322,17575,21208,52
NVDA US Equity,2022-06-30,2022,2,8288,2246,18892,20338,50
NVDA US Equity,2022-09-30,2022,3,6704,924,19625,17037,19
NVDA US Equity,2022-12-31,2022,4,5931,1056,19139,13143,-23
NVDA US Equity,2023-03-31,2023,1,6051,1737,19081,13296,-50
NVDA US Equity,2023-06-30,2023,2,7192,2583,19940,15320,-84
NVDA US Equity,2023-09-30,2023,3,13507,7232,22054,16023,-122
NVDA US Equity,2023-12-31,2023,4,18120,10858,20883,18281,-171
NVDA US Equity,2024-03-31,2024,1,22103,14076,22750,25984,-231
NVDA US Equity,2024-06-30,2024,2,26044,17399,27930,31438,-295
NVDA US Equity,2024-09-30,2024,3,30040,19159,27070,34800,-383
NVDA US Equity,2024-12-31,2024,4,35082,22439,30114,38487,-411
PEP US Equity,2020-03-31,2020,1,13881,2457,71503,11247,290
PEP US Equity,2020-06-30,2020,2,15945,2908,76938,9123,235
PEP US Equity,2020-09-30,2020,3,18091,3620,78446,9705,264
PEP US Equity,2020-12-31,2020,4,22455,3643,79366,9551,339
PEP US Equity,2021-03-31,2021,1,14820,2872,77171,6625,258
PEP US Equity,2021-06-30,2021,2,19217,3782,76987,5777,241
PEP US Equity,2021-09-30,2021,3,20189,3809,77264,6850,232
PEP US Equity,2021-12-31,2021,4,25248,3409,76226,5988,1132
PEP US Equity,2022-03-31,2022,1,16200,5822,74642,6904,240
PEP US Equity,2022-06-30,2022,2,20225,2717,74429,5692,236
PEP US Equity,2022-09-30,2022,3,21971,4012,75326,6742,190
PEP US Equity,2022-12-31,2022,4,27996,1724,74914,5348,273
PEP US Equity,2023-03-31,2023,1,17846,3219,75867,5204,200
PEP US Equity,2023-06-30,2023,2,22322,4337,78081,6454,201
PEP US Equity,2023-09-30,2023,3,23453,4720,80983,10283,201
PEP US Equity,2023-12-31,2023,4,27850,2658,81858,10003,217
PEP US Equity,2024-03-31,2024,1,18250,3358,80850,8350,202
PEP US Equity,2024-06-30,2024,2,22501,5427,79953,6668,234
PEP US Equity,2024-09-30,2024,3,23319,4611,80908,8051,219
PEP US Equity,2024-12-31,2024,4,27784,3292,81296,9266,264
PETR4 BZ Equity,2020-03-31,2020,1,75469,-28243,736720,83945,6062
PETR4 BZ Equity,2020-06-30,2020,2,50898,25084,769421,109757,6231
PETR4 BZ Equity,2020-09-30,2020,3,70730,34419,715069,75636,7069
PETR4 BZ Equity,2020-12-31,2020,4,74972,79938,676269,64507,5951
PETR4 BZ Equity,2021-03-31,2021,1,86174,48515,678038,71685,5726
PETR4 BZ Equity,2021-06-30,2021,2,110710,61804,579057,52384,6379
PETR4 BZ Equity,2021-09-30,2021,3,121594,81199,599000,62560,5078
PETR4 BZ Equity,2021-12-31,2021,4,134190,73934,583370,62287,4862
PETR4 BZ Equity,2022-03-31,2022,1,141641,80186,561601,87825,4310
PETR4 BZ Equity,2022-06-30,2022,2,170960,113484,591902,100525,5040
PETR4 BZ Equity,2022-09-30,2022,3,170076,91584,573469,36952,4736
PETR4 BZ Equity,2022-12-31,2022,4,158579,75912,612324,64352,5023
PETR4 BZ Equity,2023-03-31,2023,1,139068,75202,575172,80329,2942
PETR4 BZ Equity,2023-06-30,2023,2,113840,58159,618178,76369,2409
PETR4 BZ Equity,2023-09-30,2023,3,124828,65713,638006,86747,3436
PETR4 BZ Equity,2023-12-31,2023,4,134258,57952,668548,86924,3150
PETR4 BZ Equity,2024-03-31,2024,1,117721,61132,657370,91155,3312
PETR4 BZ Equity,2024-06-30,2024,2,122258,50900,682648,75146,3629
PETR4 BZ Equity,2024-09-30,2024,3,129582,63131,682796,81340,4082
PETR4 BZ Equity,2024-12-31,2024,4,121268,32538,757283,50256,4700
PFE US Equity,2020-03-31,2020,1,10083,4199,100998,10350,356
PFE US Equity,2020-06-30,2020,2,9864,3271,113370,11382,348
PFE US Equity,2020-09-30,2020,3,10277,3814,113488,10499,330
PFE US Equity,2020-12-31,2020,4,11634,1702,90756,12223,343
PFE US Equity,2021-06-30,2021,2,14516,5896,89953,13667,336
PFE US Equity,2021-09-30,2021,3,18899,6914,99605,21700,303
PFE US Equity,2021-12-31,2021,4,24035,7488,103221,29696,315
PFE US Equity,2021-12-31,2021,4,23838,4268,104014,31069,301
PFE US Equity,2022-06-30,2022,2,25661,10588,101155,23897,308
PFE US Equity,2022-09-30,2022,3,27742,13394,107821,33304,263
PFE US Equity,2022-12-31,2022,4,22638,10126,102459,36123,241
PFE US Equity,2022-12-31,2022,4,24290,5904,101288,22732,176
PFE US Equity,2023-06-30,2023,2,18486,8032,94381,19972,141
PFE US Equity,2023-09-30,2023,3,13007,3767,120875,44785,192
PFE US Equity,2023-12-31,2023,4,13232,-1871,117817,44181,173
PFE US Equity,2023-12-31,2023,4,14570,-2618,137213,12690,80
PFE US Equity,2024-03-31,2024,1,14879,5837,128537,11928,661
PFE US Equity,2024-06-30,2024,2,13283,2734,128218,7100,648
PFE US Equity,2024-09-30,2024,3,17702,6714,126918,9952,668
PFE US Equity,2024-12-31,2024,4,17763,4139,124899,20477,569
PG US Equity,2020-03-31,2020,1,17214,4334,72619,15393,61
PG US Equity,2020-06-30,2020,2,17698,4387,73822,16181,135
PG US Equity,2020-09-30,2020,3,19318,5952,71323,13392,126
PG US Equity,2020-12-31,2020,4,19745,6051,71572,11941,134
PG US Equity,2021-03-31,2021,1,18109,4468,69859,10007,95
PG US Equity,2021-06-30,2021,2,18946,4250,72653,10288,102
PG US Equity,2021-09-30,2021,3,20338,5734,73261,10370,98
PG US Equity,2021-12-31,2021,4,20953,5852,76523,11544,96
PG US Equity,2022-03-31,2022,1,19381,4714,74471,8526,100
PG US Equity,2022-06-30,2022,2,19515,4320,70354,7214,94
PG US Equity,2022-09-30,2022,3,20612,5602,71948,6710,81
PG US Equity,2022-12-31,2022,4,20773,5438,72990,6854,105
PG US Equity,2023-03-31,2023,1,20068,4940,74430,7596,139
PG US Equity,2023-06-30,2023,2,20553,4868,73764,8246,124
PG US Equity,2023-09-30,2023,3,21871,6469,74517,9733,97
PG US Equity,2023-12-31,2023,4,21441,5154,71880,7890,115
PG US Equity,2024-03-31,2024,1,20195,5172,69264,6828,129
PG US Equity,2024-06-30,2024,2,20532,4645,71811,9482,113
PG US Equity,2024-09-30,2024,3,21737,6525,74341,12156,103
PG US Equity,2024-12-31,2024,4,21882,6447,71196,10230,121
PRU US Equity,2020-03-31,2020,1,13464,,812640,31646,
PRU US Equity,2020-06-30,2020,2,12115,,848879,21149,
PRU US Equity,2020-09-30,2020,3,15425,,844699,20658,
PRU US Equity,2020-12-31,2020,4,15076,,872512,13701,
PRU US Equity,2021-03-31,2021,1,16952,,848504,16099,
PRU US Equity,2021-06-30,2021,2,15917,,862777,15145,
PRU US Equity,2021-09-30,2021,3,21641,,870023,15605,
PRU US Equity,2021-12-31,2021,4,13744,,874974,12888,
PRU US Equity,2022-03-31,2022,1,11855,,833388,14086,
PRU US Equity,2022-06-30,2022,2,11392,,666681,14359,
PRU US Equity,2022-09-30,2022,3,20608,,660576,20104,
PRU US Equity,2022-12-31,2022,4,12206,,657110,17251,
PRU US Equity,2023-03-31,2023,1,17045,,676822,17425,
PRU US Equity,2023-06-30,2023,2,13498,,667849,14652,
PRU US Equity,2023-09-30,2023,3,8774,,654307,16892,
PRU US Equity,2023-12-31,2023,4,13020,,693102,19419,
PRU US Equity,2024-03-31,2024,1,23509,,696953,18735,
PRU US Equity,2024-06-30,2024,2,14883,,685636,17111,
PRU US Equity,2024-09-30,2024,3,19490,,728279,20198,
PRU US Equity,2024-12-31,2024,4,13009,,707400,18497,
RY CN Equity,2020-03-31,2020,1,17831,,1392243,389638,
RY CN Equity,2020-06-30,2020,2,14079,,1590642,472709,
RY CN Equity,2020-09-30,2020,3,15717,,1596760,468036,
RY CN Equity,2020-12-31,2020,4,13525,,1537781,470916,
RY CN Equity,2021-03-31,2021,1,15119,,1580902,494352,
RY CN Equity,2021-06-30,2021,2,13638,,1522494,485776,
RY CN Equity,2021-09-30,2021,3,15277,,1597230,515692,
RY CN Equity,2021-12-31,2021,4,14295,,1607561,501387,
RY CN Equity,2022-03-31,2022,1,15144,,1650461,506709,
RY CN Equity,2022-06-30,2022,2,13680,,1744167,501456,
RY CN Equity,2022-09-30,2022,3,16946,,1738094,505820,
RY CN Equity,2022-12-31,2022,4,21159,,1809044,498253,
RY CN Equity,2023-03-31,2023,1,26463,,1829221,508151,
RY CN Equity,2023-06-30,2023,2,26652,,1828948,516318,
RY CN Equity,2023-09-30,2023,3,29562,,1845305,515159,
RY CN Equity,2023-12-31,2023,4,30868,,1891384,473266,
RY CN Equity,2024-03-31,2024,1,32750,,1857917,483298,
RY CN Equity,2024-06-30,2024,2,33267,,1909446,401629,
RY CN Equity,2024-09-30,2024,3,34451,,1951615,438040,
RY CN Equity,2024-12-31,2024,4,33890,,2044390,473546,
SAN SM Equity,2020-03-31,2020,1,17795,,1434246,231310,
SAN SM Equity,2020-06-30,2020,2,14493,,1481022,245283,
SAN SM Equity,2020-09-30,2020,3,13901,,1422932,273314,
SAN SM Equity,2020-12-31,2020,4,13597,,1416928,239878,
SAN SM Equity,2021-03-31,2021,1,15363,,1470193,283435,
SAN SM Equity,2021-06-30,2021,2,14489,,1472891,275311,
SAN SM Equity,2021-09-30,2021,3,15037,,1482671,286442,
SAN SM Equity,2021-12-31,2021,4,16005,,1498782,298779,
SAN SM Equity,2022-03-31,2022,1,18684,,1566634,301533,
SAN SM Equity,2022-06-30,2022,2,20560,,1625378,321511,
SAN SM Equity,2022-09-30,2022,3,22683,,1716480,363912,
SAN SM Equity,2022-12-31,2022,4,24639,,1637074,324466,
SAN SM Equity,2023-03-31,2023,1,29157,,1649912,318084,
SAN SM Equity,2023-06-30,2023,2,29999,,1678449,323791,
SAN SM Equity,2023-09-30,2023,3,31696,,1713947,336900,
SAN SM Equity,2023-12-31,2023,4,30389,,1692821,342525,
SAN SM Equity,2024-03-31,2024,1,34228,,1694981,305189,
SAN SM Equity,2024-06-30,2024,2,31611,,1682613,289940,
SAN SM Equity,2024-09-30,2024,3,31272,,1697196,313371,
SAN SM Equity,2024-12-31,2024,4,37851,,1729754,323572,
SDBZ CH Equity,2020-12-31,2020,4,619338,,15622983,1168055,
SDBZ CH Equity,2021-12-31,2021,4,652800,,15629661,1153909,
SDBZ CH Equity,2022-12-31,2022,4,703751,,16637502,1103546,
SDBZ CH Equity,2023-12-31,2023,4,692374,,16974792,1263560,
SDBZ CH Equity,2024-12-31,2024,4,645746,,16844398,1268135,
SINZ CH Equity,2020-12-31,2020,4,2142332.422,130462.7744,1078106.583,229409.4368,1937.6272
SINZ CH Equity,2021-12-31,2021,4,2789498.706,232385.5534,1184445.011,299661.511,1699.8056
SINZ CH Equity,2022-12-31,2022,4,3366866,212165,1230288,263884,2860
SINZ CH Equity,2023-12-31,2023,4,3245388,234218,1388476,258344,3658
SINZ CH Equity,2024-12-31,2024,4,3138768,217779,1428542,261086,5455
SLB US Equity,2020-03-31,2020,1,7455,-7200,32611,3344,121
SLB US Equity,2020-06-30,2020,2,5356,-2912,32211,3589,137
SLB US Equity,2020-09-30,2020,3,5258,649,31697,3837,135
SLB US Equity,2020-12-31,2020,4,5532,1129,29945,3006,139
SLB US Equity,2021-03-31,2021,1,5223,1035,29064,2910,131
SLB US Equity,2021-06-30,2021,2,5634,1188,27849,2682,131
SLB US Equity,2021-09-30,2021,3,5847,1295,27373,2942,122
SLB US Equity,2021-12-31,2021,4,6225,1367,26225,3139,122
SLB US Equity,2022-03-31,2022,1,5962,1244,26328,2649,109
SLB US Equity,2022-06-30,2022,2,6773,1497,26202,2816,121
SLB US Equity,2022-09-30,2022,3,7477,1714,26582,3609,114
SLB US Equity,2022-12-31,2022,4,7878,1843,25146,2894,88
SLB US Equity,2023-03-31,2023,1,7736,1749,25475,2504,100
SLB US Equity,2023-06-30,2023,2,8099,1899,25892,3194,108
SLB US Equity,2023-09-30,2023,3,8310,2030,26106,3735,107
SLB US Equity,2023-12-31,2023,4,8990,2077,26598,3989,89
SLB US Equity,2024-03-31,2024,1,8707,1986,25933,3491,75
SLB US Equity,2024-06-30,2024,2,9139,2099,27093,4003,94
SLB US Equity,2024-09-30,2024,3,9159,2187,27047,4462,84
SLB US Equity,2024-12-31,2024,4,9284,2051,26585,4669,95
SNB AB Equity,2020-03-31,2020,1,6189.551,,470025.865,53849.982,
SNB AB Equity,2020-06-30,2020,2,5512,,483365.734,52509.697,
SNB AB Equity,2020-09-30,2020,3,6327.556,,500422.392,56434.441,
SNB AB Equity,2020-12-31,2020,4,6878.435,,519228.06,70460.7,
SNB AB Equity,2021-03-31,2021,1,6441.485,,515381.479,62373.303,
SNB AB Equity,2021-06-30,2021,2,8502.507,,736856.619,78681.769,
SNB AB Equity,2021-09-30,2021,3,8679.82,,742932.574,81604.437,
SNB AB Equity,2021-12-31,2021,4,8716.995,,751377.933,92643.213,
SNB AB Equity,2022-03-31,2022,1,8996.34,,756421.831,82902.992,
SNB AB Equity,2022-06-30,2022,2,9695.231,,796752.164,90132.154,
SNB AB Equity,2022-09-30,2022,3,10825.434,,801238.068,88454.941,
SNB AB Equity,2022-12-31,2022,4,13548.341,,778718.535,58107.734,
SNB AB Equity,2023-03-31,2023,1,13072.903,,805052.572,63288.853,
SNB AB Equity,2023-06-30,2023,2,13892.689,,825284.586,66811.39,
SNB AB Equity,2023-09-30,2023,3,15047.375,,858155.586,78797.82,
SNB AB Equity,2023-12-31,2023,4,17473.897,,860452.454,82062.417,
SNB AB Equity,2024-03-31,2024,1,15580.557,,891667.524,86660.709,
SNB AB Equity,2024-06-30,2024,2,16244.526,,908121.014,76523.709,
SNB AB Equity,2024-09-30,2024,3,17371.678,,940768.337,86091.112,
SNB AB Equity,2024-12-31,2024,4,19411.26,,910879.379,63208.121,
SP SP Equity,2020-03-31,2020,1,3993.5,1692,9284.5,1673.4,72.7
SP SP Equity,2021-03-31,2021,1,3574.1,1613.8,8379.1,1187.2,34.4
SP SP Equity,2022-03-31,2022,1,5213.5,3339.4,9001.6,4207.8,46.5
SP SP Equity,2023-03-31,2023,1,7236.4,2190.6,8193.5,1988.1,43.7
SP SP Equity,2024-03-31,2024,1,7333.8,2558.4,8474.7,1887.5,84
STAN LN Equity,2020-03-31,2020,1,6390,,714912,120697,
STAN LN Equity,2020-06-30,2020,2,5368,,691688,107807,
STAN LN Equity,2020-09-30,2020,3,6079,,703859,108278,
STAN LN Equity,2020-12-31,2020,4,3032,,738321,113978,
STAN LN Equity,2021-03-31,2021,1,4981,,752628,120231,
STAN LN Equity,2021-06-30,2021,2,4753,,743053,122757,
STAN LN Equity,2021-09-30,2021,3,5746,,763767,121371,
STAN LN Equity,2021-12-31,2021,4,3391,,775182,124377,
STAN LN Equity,2022-03-31,2022,1,5376,,787277,105218,
STAN LN Equity,2022-06-30,2022,2,5355,,786225,111100,
STAN LN Equity,2022-09-30,2022,3,7743,,814432,109836,
STAN LN Equity,2022-12-31,2022,4,7442,,769906,122280,
STAN LN Equity,2023-03-31,2023,1,9036,,770667,110445,
STAN LN Equity,2023-06-30,2023,2,9367,,789030,141891,
STAN LN Equity,2023-09-30,2023,3,10178,,777477,135248,
STAN LN Equity,2023-12-31,2023,4,9696,,772491,128878,
STAN LN Equity,2024-03-31,2024,1,10907,,761686,101625,
STAN LN Equity,2024-06-30,2024,2,10345,,784100,117105,
STAN LN Equity,2024-09-30,2024,3,13372,,819437,112417,
STAN LN Equity,2024-12-31,2024,4,10015,,798404,116700,
STATEZ CH Equity,2020-12-31,2020,4,153078.5913,27873.8593,464191.4563,204337.5956,9335.052
STATEZ CH Equity,2021-12-31,2021,4,190413.693,24977.5783,515162.9999,236628.4353,9414.0302
STATEZ CH Equity,2022-12-31,2022,4,204282.9518,36546.3931,536562.1018,244292.3519,9413.5252
