Bond_Ticker,Equity_Ticker,Issuer_Name
SPSP,SP SP Equity,SINGAPORE POWER
KFW,2534Z GR Equity,KREDITANSTALT FUER WIEDERAUF
IFC,1411Z US Equity,INTERNATIONAL FINANCE CORP
ADCBUH,ADCB UH Equity,ABU DHABI COMMERCIAL BANK
MUFG,8315 JP Equity,MUFG BANK LTD
SNBAB,SNB AB Equity,THE SAUDI NATIONAL BANK
AVIILC,1003733D CH Equity,AVIC INTERNATIONAL LEASING C
BOCOM,BCMZ HK Equity,BANK OF COMMUNICATIONS/HK
FABUH,FAB UH Equity,FIRST ABU DHABI BANK PJSC
AFDB,1598Z TU Equity,AFRICAN DEVELOPMENT BANK
SANTAN,926126Z ID Equity,SANTANDER INTERNATIONAL PROD
GUOTJU,1788 HK Equity,GUOTAI JUNAN INTERNATIONAL
C,8156Z US Equity,CITIBANK NA
EIBKOR,EIBZ KS Equity,EXPORT-IMPORT BANK OF KOREA
KDB,KDBZ KS Equity,KOREA DEVELOPMENT BANK
PIFKSA,3382936Z AB Equity,PUBLIC INVESTMENT FUND
CHEVBK,601818 CH Equity,CHINA EVERBRIGHT BANK CO-A
WFC,3920Z US Equity,WELLS FARGO BANK NA
ICBCAS,ICBZ KS Equity,INDUSTRIAL & COMMERCIAL BANK
SANTAN,SAN SM Equity,BANCO SANTANDER SA
CITNAT,060000 KS Equity,KOOKMIN BANK
WOORIB,000030 KS Equity,WOORI BANK
EBRD,6044Z LN Equity,EUROPEAN BANK FOR RECONSTRUC
